Date;Club Type;Club Description;Altitude;Club Speed;Ball Speed;Carry Distance;Total Distance;Roll Distance;Smash;Vertical Launch;Peak Height;Descent Angle;Horizontal Launch;Carry Lateral Distance;Total Lateral Distance;Carry Curve Distance;Total Curve Distance;Attack Angle;Dynamic Loft;Spin Loft;Spin Rate;Spin Axis;Spin Reading;Low Point;Club Path;Face Path;Face Target;Swing Plane Tilt;Swing Plane Rotation;Shot Classification
;;;[m];[mph];[mph];[m];[m];[m];;[deg];[m];[deg];[deg];[m];[m];[m];[m];[deg];[deg];[deg];[rpm];[deg];;[cm];[deg];[deg];[deg];[deg];[deg];
2023-10-13 11:19:53;Driver;;0.00;96.39;135.13;206.19;224.44;18.24;1.40;17.18;28.24;37.29;5.04;24.49;27.48;6.39;7.80;4.00;19.51;15.51;2389;10.00;Actual;;-0.30;6.48;6.18;;;Push Fade
2023-10-13 11:21:39;Driver;;0.00;95.29;142.58;208.36;231.49;23.13;1.50;12.71;20.85;30.17;1.81;3.44;3.30;-3.15;-4.02;-3.20;15.52;18.72;2195;-5.49;Actual;;4.15;-2.58;1.57;;;Draw
2023-10-13 11:22:03;Driver;;0.00;103.37;142.20;218.52;234.48;15.96;1.38;15.00;31.63;40.04;2.97;18.69;20.87;7.38;8.73;0.77;17.51;16.74;3471;8.33;Actual;;-0.58;4.29;3.71;;;Push Fade
2023-10-13 11:23:57;Driver;;0.00;99.01;142.85;216.96;236.40;19.44;1.44;15.90;26.94;35.17;0.90;4.93;5.57;1.51;1.85;3.80;18.04;14.24;1981;2.49;Actual;;-0.15;1.27;1.12;;;Straight
2023-10-13 11:25:00;Driver;;0.00;100.75;142.27;196.19;221.72;25.52;1.41;8.88;14.40;23.94;-2.73;-13.23;-15.72;-3.90;-5.18;6.32;9.33;3.01;2620;-7.21;Actual;;0.13;-3.48;-3.34;;;Pull Draw
2023-10-13 11:25:19;Driver;;0.00;103.23;146.52;228.98;246.13;17.15;1.42;15.58;34.00;40.77;1.67;8.27;9.07;1.60;1.91;3.11;17.78;14.67;3168;1.77;Actual;;0.97;0.91;1.88;;;Straight
2023-10-13 11:26:00;Driver;;0.00;104.58;146.63;226.57;241.72;15.14;1.40;14.42;32.31;40.07;4.29;29.14;32.31;12.25;14.30;0.66;16.85;16.18;3441;13.20;Actual;;-0.97;6.35;5.37;;;Push Fade
2023-10-13 11:26:37;Driver;;0.00;108.18;144.84;216.08;237.16;21.08;1.34;11.67;22.27;31.88;0.58;6.23;7.43;4.03;5.02;2.90;13.21;10.31;2803;5.69;Actual;;-1.78;2.76;0.98;;;Fade
2023-10-13 11:27:14;Driver;;0.00;100.80;142.96;216.96;235.82;18.86;1.42;12.71;25.23;34.86;-0.77;-2.80;-3.02;0.11;0.16;6.94;13.73;6.79;3106;0.17;Actual;;-0.84;0.02;-0.81;;;Straight
2023-10-13 11:27:43;Driver;;0.00;100.62;146.14;221.90;241.87;19.97;1.45;15.27;26.81;34.64;-1.70;-14.40;-16.74;-7.84;-9.59;3.19;17.40;14.21;1989;-12.54;Actual;;3.14;-5.69;-2.55;;;Draw
2023-10-13 11:28:07;Driver;;0.00;105.58;149.34;231.03;250.22;19.19;1.41;14.52;29.17;36.78;-0.66;-3.56;-3.97;-0.91;-1.10;1.92;16.74;14.82;2454;-1.19;Actual;;-0.20;-0.57;-0.77;;;Straight
2023-10-13 11:28:45;Driver;;0.00;103.55;144.24;214.00;235.26;21.26;1.39;12.38;22.12;31.38;-4.05;-21.38;-24.42;-6.27;-7.82;9.72;12.85;3.13;2500;-9.65;Actual;;-0.25;-4.65;-4.90;;;Pull Draw
2023-10-13 11:29:18;Driver;;0.00;99.36;142.58;220.41;239.77;19.36;1.43;15.67;29.88;37.95;5.72;25.95;28.75;3.99;4.86;4.18;17.70;13.52;2680;5.27;Actual;;3.50;2.94;6.44;;;Push Fade
2023-10-13 11:31:03;Driver;;0.00;103.12;144.77;207.53;231.85;24.32;1.40;12.55;19.49;28.27;-4.30;-22.19;-25.95;-6.66;-8.59;4.46;13.98;9.52;1819;-13.15;Actual;;0.83;-6.19;-5.36;;;Pull Draw
2023-10-13 11:31:29;Driver;;0.00;100.86;148.71;225.76;248.47;22.71;1.47;14.51;26.37;34.18;-1.58;-11.19;-13.07;-4.98;-6.23;5.27;16.14;10.88;2030;-7.73;Actual;;1.19;-3.29;-2.10;;;Draw
2023-10-13 11:32:28;Driver;;0.00;106.30;151.15;231.03;246.61;15.59;1.42;12.74;31.31;39.34;0.85;15.95;18.31;12.54;14.67;5.24;14.06;8.82;3618;12.84;Actual;;-4.05;5.69;1.65;;;Fade
2023-10-13 11:33:06;Driver;;0.00;106.90;146.52;224.46;245.38;20.92;1.37;13.72;27.35;35.72;2.56;17.19;19.79;7.18;8.85;2.44;15.71;13.27;2731;9.36;Actual;;-1.29;4.61;3.31;;;Push Fade
2023-10-13 11:34:21;Driver;;0.00;109.18;150.19;223.22;243.92;20.70;1.38;9.78;21.21;30.89;1.34;12.93;15.21;7.73;9.53;2.30;11.10;8.80;3099;9.94;Actual;;-2.43;4.43;2.00;;;Fade
2023-10-13 11:34:46;Driver;;0.00;98.49;136.72;199.77;222.25;22.48;1.39;15.47;22.34;31.69;1.67;17.34;21.20;11.53;14.75;7.41;16.90;9.48;1779;23.66;Actual;;-11.07;14.79;3.72;;;Slice
2023-10-13 11:35:19;Driver;;0.00;105.45;148.31;223.40;243.73;20.33;1.41;12.61;24.11;32.85;-1.00;-3.13;-3.31;0.78;0.96;4.52;14.04;9.52;2446;1.12;Actual;;-1.44;0.43;-1.00;;;Straight
2023-10-13 11:36:06;Driver;;0.00;103.75;141.04;212.86;234.84;21.98;1.36;14.80;25.28;34.34;1.95;9.24;10.50;2.00;2.52;3.92;16.71;12.79;2280;3.17;Actual;;0.56;1.73;2.29;;;Straight
2023-10-13 11:39:11;5 Iron;;0.00;84.22;120.46;166.51;181.67;15.16;1.43;13.59;20.97;36.20;3.48;10.11;11.03;0.00;0.00;;;;4243;0.00;Actual;;;;;;;Push
2023-10-13 11:39:30;5 Iron;;0.00;87.80;113.46;146.76;171.76;25.00;1.29;12.82;12.41;24.21;0.91;5.66;7.48;3.33;4.75;3.11;16.06;12.95;2475;9.91;Actual;;-4.45;6.24;1.79;;;Fade
2023-10-13 11:40:03;5 Iron;;0.00;84.74;118.07;164.58;186.61;22.03;1.39;14.90;17.26;29.45;0.25;0.72;0.82;0.00;0.00;;;;2508;0.00;Actual;;;;;;;Straight
2023-10-13 11:41:13;5 Iron;;0.00;86.39;120.64;165.13;181.69;16.56;1.40;12.55;19.22;34.49;2.62;13.46;15.70;5.93;7.43;-0.33;16.84;17.16;4264;9.41;Actual;;-2.16;5.67;3.51;;;Push Fade
2023-10-13 11:41:26;5 Iron;;0.00;87.73;122.32;156.92;183.48;26.56;1.39;11.87;12.32;22.62;-0.67;-3.49;-4.50;-1.66;-2.36;-0.16;15.87;16.03;2070;-5.04;Actual;;1.84;-2.93;-1.09;;;Draw
2023-10-13 11:41:41;5 Iron;;0.00;85.61;113.50;143.99;160.84;16.85;1.33;10.94;14.60;31.25;3.81;9.57;10.69;0.00;0.00;;;;5078;0.00;Actual;;;;;;;Push
2023-10-13 11:41:53;5 Iron;;0.00;85.38;111.13;125.34;153.91;28.57;1.30;10.85;8.10;17.95;2.81;6.14;7.54;0.00;0.00;;;;1932;0.00;Actual;;;;;;;Push
2023-10-13 11:42:09;5 Iron;;0.00;88.90;110.46;147.87;164.37;16.50;1.24;14.12;17.69;34.06;1.43;4.75;5.45;1.05;1.35;-3.03;19.84;22.88;4292;1.98;Actual;;0.21;1.50;1.71;;;Straight
2023-10-13 11:42:24;5 Iron;;0.00;87.96;112.29;148.87;171.18;22.31;1.28;14.74;14.41;26.80;-0.38;-0.37;-0.29;0.62;0.85;-1.29;20.08;21.38;2255;1.85;Actual;;-1.54;1.31;-0.23;;;Straight
2023-10-13 11:42:48;5 Iron;;0.00;86.64;115.29;141.74;166.48;24.73;1.33;8.66;8.92;19.65;-2.11;-5.27;-6.20;0.00;-0.06;1.79;10.94;9.15;3426;-0.12;Actual;;-2.06;-0.20;-2.26;;;Pull
2023-10-13 11:43:42;5 Iron;;0.00;89.86;116.01;146.23;172.86;26.63;1.29;11.62;11.11;22.09;2.11;8.21;10.48;2.83;4.13;-1.42;15.96;17.39;2373;8.92;Actual;;-2.52;5.48;2.95;;;Push Fade
2023-10-13 11:44:05;5 Iron;;0.00;79.03;113.95;151.25;175.00;23.76;1.44;13.49;13.84;25.93;0.02;0.05;0.06;0.00;0.00;;;;2582;0.00;Actual;;;;;;;Straight
2023-10-13 11:44:22;5 Iron;;0.00;83.93;124.96;178.48;198.31;19.83;1.49;12.55;18.42;30.70;1.26;3.93;4.37;0.00;0.00;;;;3398;0.00;Actual;;;;;;;Straight
2023-10-13 11:44:42;5 Iron;;0.00;86.39;118.29;159.11;182.13;23.02;1.37;12.04;13.79;25.53;-3.55;-11.31;-13.27;-1.48;-2.01;-0.14;16.10;16.24;2916;-3.46;Actual;;-1.86;-2.18;-4.03;;;Pull
2023-10-13 11:44:56;5 Iron;;0.00;83.24;120.39;169.01;191.31;22.30;1.45;13.46;16.88;29.08;1.33;3.92;4.44;0.00;0.00;;;;2912;0.00;Actual;;;;;;;Straight
2023-10-13 11:45:12;5 Iron;;0.00;87.13;123.88;152.97;182.47;29.49;1.42;11.40;11.05;20.72;-3.48;-11.10;-13.77;-1.81;-2.69;0.53;15.02;14.49;1695;-6.50;Actual;;-0.49;-3.68;-4.17;;;Pull Draw
2023-10-13 11:45:32;5 Iron;;0.00;86.86;116.30;152.91;170.12;17.21;1.34;11.87;17.13;33.77;1.47;7.77;9.32;3.86;4.97;-0.78;16.08;16.86;4866;6.49;Actual;;-1.75;3.80;2.05;;;Fade
2023-10-13 11:46:07;5 Iron;;0.00;87.89;125.18;179.88;201.29;21.41;1.42;13.88;19.12;30.72;-0.43;-0.57;-0.50;0.77;1.00;-2.87;19.46;22.33;2815;1.44;Actual;;-1.31;0.99;-0.32;;;Straight
2023-10-13 11:46:32;5 Iron;;0.00;88.67;122.43;171.59;191.25;19.66;1.38;12.04;17.25;30.12;-0.96;0.28;0.86;3.16;4.05;-0.71;16.30;17.01;3642;5.47;Actual;;-3.75;3.15;-0.60;;;Fade
2023-10-13 11:46:50;5 Iron;;0.00;87.78;98.34;76.54;108.77;32.23;1.12;8.18;3.18;10.51;-4.93;-7.30;-10.90;-0.72;-1.55;0.38;10.78;10.40;1379;-10.49;Actual;;1.05;-7.21;-6.17;;;Pull Draw
2023-10-13 11:47:04;5 Iron;;0.00;87.93;123.66;176.29;196.92;20.63;1.41;13.34;18.09;29.97;-0.26;-1.30;-1.53;-0.49;-0.63;-2.50;18.62;21.12;2991;-0.92;Actual;;0.27;-0.63;-0.36;;;Straight
2023-10-13 11:48:02;6 Iron;;0.00;85.99;120.79;167.42;182.10;14.69;1.40;14.52;23.06;38.32;-1.94;-6.39;-7.05;-0.72;-0.88;1.04;19.01;17.97;4359;-1.06;Actual;;-1.31;-0.86;-2.16;;;Straight
