Date;Club Type;Club Description;Altitude;Club Speed;Ball Speed;Carry Distance;Total Distance;Roll Distance;Smash;Vertical Launch;Peak Height;Descent Angle;Horizontal Launch;Carry Lateral Distance;Total Lateral Distance;Carry Curve Distance;Total Curve Distance;Attack Angle;Dynamic Loft;Spin Loft;Spin Rate;Spin Axis;Spin Reading;Low Point;Club Path;Face Path;Face Target;Swing Plane Tilt;Swing Plane Rotation;Shot Classification
;;;[m];[mph];[mph];[m];[m];[m];;[deg];[m];[deg];[deg];[m];[m];[m];[m];[deg];[deg];[deg];[rpm];[deg];;[cm];[deg];[deg];[deg];[deg];[deg];
2023-10-11 11:43:45;Driver;;0.00;103.37;139.05;214.14;229.99;15.85;1.35;16.22;32.22;40.45;6.00;33.87;37.64;11.56;13.70;-0.12;19.11;19.23;3367;13.64;Actual;;-0.63;8.04;7.41;;;Push Fade
2023-10-11 11:44:15;Driver;;0.00;104.13;148.40;213.49;236.43;22.94;1.43;8.66;17.31;27.03;-0.20;5.88;7.58;6.62;8.41;3.61;9.55;5.94;2960;9.70;Actual;;-3.71;4.03;0.32;;;Fade
2023-10-11 11:44:55;Driver;;0.00;106.25;151.87;222.64;244.43;21.80;1.43;8.57;19.34;29.18;0.15;-0.08;-0.17;-0.66;-0.82;3.57;9.46;5.89;3155;-0.85;Actual;;0.45;-0.34;0.12;;;Straight
2023-10-11 11:45:52;Driver;;0.00;102.41;147.44;201.97;229.07;27.10;1.44;8.92;14.55;23.30;-0.67;-5.19;-6.45;-2.82;-3.77;0.95;10.32;9.37;2260;-5.46;Actual;;1.26;-2.27;-1.01;;;Draw
2023-10-11 11:46:52;Driver;;0.00;106.70;140.39;215.81;231.70;15.89;1.32;15.44;31.36;39.91;4.48;29.64;33.23;12.84;15.20;1.59;17.89;16.30;3427;14.91;Actual;;-2.63;8.48;5.86;;;Push Fade
2023-10-11 11:47:47;Driver;;0.00;98.92;141.40;202.74;225.25;22.50;1.43;9.34;17.23;27.65;5.99;21.15;23.49;0.00;0.00;;;;3146;0.00;Actual;;;;;;;Push
2023-10-11 11:48:13;Driver;;0.00;103.82;140.79;203.28;220.79;17.51;1.36;10.37;22.41;34.40;1.00;0.93;0.67;-2.61;-3.18;3.90;11.52;7.62;3878;-3.22;Actual;;2.36;-1.51;0.86;;;Straight
2023-10-11 11:48:56;Driver;;0.00;97.60;140.64;216.58;231.10;14.52;1.44;16.87;35.35;42.59;7.63;38.47;42.04;9.84;11.50;2.71;19.36;16.65;3564;10.77;Actual;;2.63;6.25;8.89;;;Push Fade
2023-10-11 11:49:26;Driver;;0.00;107.22;147.37;231.32;248.89;17.57;1.37;16.01;34.08;40.54;1.55;6.25;6.73;0.00;0.00;;;;2869;0.00;Actual;;;;;;;Straight
2023-10-11 11:49:54;Driver;;0.00;102.88;150.64;220.43;242.69;22.27;1.46;9.19;19.13;28.74;-2.34;-15.14;-17.61;-6.17;-7.73;2.05;10.45;8.40;2906;-8.55;Actual;;0.56;-3.48;-2.93;;;Pull Draw
2023-10-11 11:50:24;Driver;;0.00;104.06;145.71;228.24;244.94;16.70;1.40;16.74;33.49;40.07;2.28;9.08;9.75;0.00;0.00;4.25;18.95;14.70;2591;0.02;Actual;;2.27;0.16;2.43;;;Push
2023-10-11 11:50:56;Driver;;0.00;103.73;139.67;212.95;225.80;12.86;1.35;18.67;39.49;45.35;1.67;6.14;6.51;-0.07;0.00;-0.50;22.05;22.55;3712;-0.06;Actual;;1.70;0.07;1.77;;;Straight
2023-10-11 11:51:15;Driver;;0.00;98.67;143.48;198.21;223.82;25.61;1.45;8.69;14.48;23.91;-7.28;-37.92;-45.29;-12.97;-17.16;2.07;9.86;7.79;2735;-23.16;Actual;;1.99;-11.16;-9.16;;;Pull Hook
2023-10-11 11:51:34;Driver;;0.00;106.90;137.50;210.01;223.65;13.64;1.29;16.80;33.83;42.23;0.74;1.20;1.12;-1.53;-1.78;2.27;19.36;17.09;3626;-1.74;Actual;;1.63;-0.97;0.66;;;Straight
2023-10-11 11:52:01;Driver;;0.00;104.26;148.04;221.68;243.55;21.87;1.42;14.71;25.00;32.89;2.15;4.81;4.78;-3.49;-4.35;3.26;16.72;13.47;1708;-6.15;Actual;;4.51;-2.58;1.93;;;Push Draw
2023-10-11 11:52:52;Driver;;0.00;107.95;146.07;225.39;242.06;16.67;1.35;13.70;29.10;37.57;0.51;-3.27;-4.09;-5.27;-6.25;3.04;15.58;12.54;3142;-6.19;Actual;;3.11;-2.96;0.15;;;Draw
2023-10-11 11:53:21;Driver;;0.00;105.40;150.72;234.26;254.35;20.09;1.43;14.98;30.60;37.55;2.37;12.89;14.41;3.19;3.88;2.87;17.12;14.26;2390;4.13;Actual;;0.80;1.97;2.77;;;Push
2023-10-11 11:53:48;Driver;;0.00;108.85;146.72;224.48;243.44;18.96;1.35;12.92;26.88;35.55;-5.12;-32.66;-37.02;-12.73;-15.42;8.13;13.77;5.64;3049;-15.66;Actual;;1.49;-7.94;-6.46;;;Pull Hook
2023-10-11 11:54:13;Driver;;0.00;104.00;150.05;234.87;250.70;15.83;1.44;14.63;32.82;39.60;1.92;17.05;19.13;9.18;10.73;4.00;16.50;12.50;3052;10.11;Actual;;-1.84;4.47;2.62;;;Fade
